NOMBRE,REGIONAL,CIUDAD,DEPARTAMENTO,DIRECCION
CONVENCIONES,COSTA,CARTAGENA,BOLIVAR,CARRERA 8B # 24-36
COMFANDI GUADALUPE,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 56 # 11-05
SABANAGRANDE,COSTA,SABANAGRANDE,ATLANTICO,CARRERA 1A # 6-145
ÉXITO VICTORIA,CAFETERA,PEREIRA,RISARALDA,CARRERA 10 # 14-71
CENTRO COMERCIAL PASAJE REAL,BOGOTA,GIRARDOT,CUNDINAMARCA,CARRERA 10 # 14-73
CENTRO COMERCIAL OASIS,BOGOTA,GIRARDOT,CUNDINAMARCA,CARRERA 10 # 19-87
GNB SUDAMERIS CALLE 94,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 11 # 94A-03
CMR ANDINO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 11 # 84-09 LOCAL 5 Y 6
MPRECIOS SAHAGUN,ANTIOQUIA,SAHAGUN,CORDOBA,CARRERA 11 # 13-73
VILLAS DE GRANADA III,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 112 A # 75-47
ÉXITO OCCIDENTE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 114A # 78B-85
CARULLA PANCE,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 122 # 18-99
SUBA GAITANA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 129 # 142D-96
JUMBO CASTILLO,COSTA,CARTAGENA,BOLIVAR,"CARRERA 13 # 31A-45 CENTRO COMERCIAL PLAZA, LOCAL 116"
COLSUBSIDIO TIBABUYES,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 136 # 131B-05
CENTRO COMERCIAL UNICENTRO ARMENIA,CAFETERA,ARMENIA,QUINDIO,CARRERA 14 ENTRE CALLE 4 Y 7
ÉXITO TURBO,ANTIOQUIA,TURBO,ANTIOQUIA,CARRERA 14 # 105-16
CALLE 140,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 14 # 140-12
TUQUERRES,OCCIDENTE,TUQUERRES,NARIÑO,CARRERA 14 # 10-15
AEROPUERTO RIOHACHA,COSTA,RIOHACHA,GUAJIRA,CARRERA 15 AL AEROPUERTO
METRO RIOHACHA,COSTA,RIOHACHA,GUAJIRA,CALLE 15 # 8-56
CENTRO COMERCIAL GUATAPURI,COSTA,VALLEDUPAR,CESAR,CARRERA 15 CALLE 8 ESQUINA
MAICAO,COSTA,MAICAO,GUAJIRA,CARRERA 15 # 16-25
SAO MAGANGUE,COSTA,MAGANGUE,BOLIVAR,CARRERA 15 # 16-47
CENTRO COMERCIAL SANTIAGO PLAZA,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 15 # 50-29
LIMONCITO,SANTANDERES,FLORIDABLANCA,SANTANDER,CARRERA 15 # 6-19
SUBA COMPARTIR,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 151 # 115-20
VERBENAL II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 16 # 187-37
COLSUBSIDIO FONTIBON,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 17 # 114-12
EDS ECOSMALAMBO,COSTA,MALAMBO,ATLANTICO,CARRERA 19 # 7-13
OLIMPCA CORTIJO,COSTA,VALLEDUPAR,CESAR,CARRERA 19 # 11-88
YOMASA II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 1A ESTE # 81A-26 SUR
TERMINAL IBAGUE,SUR,IBAGUE,TOLIMA,CARRERA 2 A # 20-86
CMR BUCARAMANGA,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 21 # 45-02
CARMEN BARRANQUILLA,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 21 # 50 10
PARQUE CALDAS,CAFETERA,MANIZALES,CALDAS,CARRERA 21 # 29-30
OLIMPICA SOLEDAD,COSTA,SOLEDAD,ATLANTICO,CARRERA 22 # 18-15
SAN FRANCISCO,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 22 # 18-25
TERPEL DECEPAZ,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 23 # 103-12
ÉXITO CUBA,CAFETERA,PEREIRA,RISARALDA,CARRERA 26 CALLE 72
CENTRO COMERCIAL SEBASTIAN DE BELALCAZAR,OCCIDENTE,PASTO,NARIÑO,CARRERA 26 # 19-28
GNB PASTO,OCCIDENTE,PASTO,NARIÑO,CARRERA 26 # 19-59
CENTRO COMERCIAL SEBAST BELALCAZACAR II,OCCIDENTE,PASTO,NARIÑO,CARRERA 26 # 19-68
OLIMPICA COROZAL,COSTA,COROZAL,SUCRE,CARRERA 26 # 30-75
ÉXITO CENTRO MAYOR,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 27 # 38A-61 SUR
TERPEL CASONA,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 27 # 103-38
AUTOSERVICIO DECEPAZ,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 27 # 121-19
CMR CALIMA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 27 # 21-75 PUERTA 3
EASY CENTRO MAYOR,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 27 # 38A-61 SUR
SUPERDIA II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 27 # 47-37
METRO PALMIRA,OCCIDENTE,PALMIRA,VALLE DEL CAUCA,CARRERA 28 AVENIDA CALLE 42
MERCAR,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 28 # 19-120
EDS CAUJARAL,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 28 # 8-80 VIA PUERTO COLOMBIA
BARRANCA I,SANTANDERES,BARRANCABERMEJA,SANTANDER,CARRERA 28 # 49-27
METRO MONTERIA,ANTIOQUIA,MONTERIA,CORDOBA,CARRERA 3 # 18-07
CENTRO COMERCIAL UNISUR,BOGOTA,SOACHA,CUNDINAMARCA,CARRERA 3 # 29-02  LOCAL 1118
CENTRO COMERCIAL UNISUR II,BOGOTA,SOACHA,CUNDINAMARCA,CARRERA 3 # 29A-02 SUR
ESSO CAMPIN,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 30 # 53-82
OLIMPICA LAGOS,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 31 # 35E-46
S CAÑAVERAL,OCCIDENTE,PALMIRA,VALLE DEL CAUCA,CARRERA 32 # 20-27
CENTRO COMERCIAL CENTRO MAYOR,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CARRERA 27 # 38A-61 SUR
METRO NEIVA,SUR,NEIVA,HUILA,CARRERA 5 # 22-31/67
RAPIMERCAR RODADERO,COSTA,SANTA MARTA,MAGDALENA,CARRERA 4 # 19-60
GNB MONTERIA,ANTIOQUIA,MONTERIA,CORDOBA,CARRERA 4 # 24-46
GNB TROPCAL CENTRO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 43 CL 36-37 CENTRO COMERCIAL TROPICAL
TEXACO PORFIA,BOGOTA,VILLAVICENCIO,META,CARRERA 43 KM 7 VIA ACACIAS
ÉXITO SABANETA,ANTIOQUIA,SABANETA,ANTIOQUIA,CARRERA 44 # 74A SUR - 62
OLIMPICA CALLE 72 BARRANQUILLA,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 47 # 72-31
MODELO II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 48 # 66DF-20
SURTMAX BUENOSA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 49 # 33-49
MONTELIBANO III,ANTIOQUIA,MONTELIBANO,CORDOBA,CALLE 17 # 5-09
GNB SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,CARRERA 5 # 23-34 LOCAL 6
CENTRO COMERCIAL LA QUINTA,SUR,IBAGUE,TOLIMA,CARRERA 5 # 29-32
GNB SUPERCADE 20 DE JULIO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 5 # 39D SUR ESQUINA
CENTRO COMERCIAL ARKACENTRO,SUR,IBAGUE,TOLIMA,CARRERA 5 # 62-64
GNB POPAYAN,OCCIDENTE,POPAYAN,CAUCA,CARRERA 5 # 6-61
CENTRO IPIALES,OCCIDENTE,IPIALES,NARIÑO,CARRERA 5 # 9-28
CURRULAO,ANTIOQUIA,TURBO,ANTIOQUIA,CARRERA 50 # 50-05
JUMBO RIONEGRO,ANTIOQUIA,RIONEGRO,ANTIOQUIA,DIAGONAL 51B # 38-44
COLFEBOY,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 58 # 132-14
GNB DANE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 59 # 26-70 INTERIOR 1
MORROA,COSTA,MORROA,SUCRE,CARRERA 6 # 8-11
TERMINAL PASTO,OCCIDENTE,PASTO,NARIÑO,CARRERA 6 # 16D-50 SUR
OLIMPICA MONTENEGRO,CAFETERA,MONTENEGRO,QUINDIO,CARRERA 6 # 17-30
CENTRO COMERCIAL GRAN BAZAR,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 6 # 20-25 SUR
COLSUBSIDIO UBATE,BOGOTA,UBATE,CUNDINAMARCA,CARRERA 6 # 4-70
GNB FNA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 65 # 11-83
TERMNAL MEDELLIN I,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 65 # 8B-91
MADELENA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 66 # 60A-23 SUR
CENTRO COMERCIAL SALITRE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 68B # 24-39
OLIMPICA PLANETA RICA,ANTIOQUIA,PLANETA RICA,CORDOBA,CARRERA 7 # 16-35
ÉXITO SAN MARTIN,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 32-84
GNB CALLE 76 I,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 75-85/87
GNB CALLE 76 II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 75-85/87
GNB PEREIRA,CAFETERA,PEREIRA,RISARALDA,CARRERA 7 # 19-26 LOCAL 102
OLIMPICA ESPNAL,SUR,ESPINAL,TOLIMA,CARRERA 8 # 10-78
EL PARQUE,SANTANDERES,VILLA DEL ROSARIO,NORTE DE SANTANDER,CARRERA 8 # 4-02 VILLA DEL ROSARIO
GNB ÉXITO LAUREL,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 81 # 37-100
CAFAM GALICIA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 82 B # 62D-37 SUR
SAO GIRARDOT,BOGOTA,GIRARDOT,CUNDINAMARCA,CARRERA 9 CALLE 14 ESQUINA
CENTRO COMERCIAL CAMPANARI,OCCIDENTE,POPAYAN,CAUCA,CARRERA 9 # 24 AN-21
OLIMPICA LA MATUNA,COSTA,CARTAGENA,BOLIVAR,CARRERA 9 # 32-58
FLORIDA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 90 # 69A-56
CENTRO COMERCIAL CIUDAD TINTAL,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 93 # 6B-50
SANTA ROSITA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 94 # 76-04
CENTRO COMERCIAL METRORECREO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 97C # 69-08 SUR
LA 14 VALLE DE LILI,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 98B # 25-130
HOME CENTER CALI,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 100 # 16-251
CENTRO COMERCIAL ANDINO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 11 CALLE 84
CAFAM RESTREPO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 20 #14-17 SUR
TERPEL TUNJA,ORIENTAL,TUNJA,BOYACA,CARRERA 7 # 14-82
CENTRO COMERCIAL PUERTO PRINCIPE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA10 # 20-35
ÉXITO BOGOTA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 59A # 79-30
ÉXITO COL,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 66 # 49-01
SAUZALITO II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 69 # 40A-11 LOCAL 17
CAFAM KENEDY,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 80 # 38-31SUR
COLOMBIA MEDELLIN,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 80 # 49F-13
CAFAM FONTIBON,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 99 # 25-85
COFRADIA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA100 # 38C-63
CARULLA CAROLINA,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 127 # 19-30
SAO VALLEDUPAR,COSTA,VALLEDUPAR,CESAR,DIAGONAL 16 # 17-69
OLIMPICA CRISANTO LUQ,COSTA,CARTAGENA,BOLIVAR,DIAGONAL 22 # 50-20
GNB CALLE 26,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 27 # 6-70 CENTRO INTERNACIONAL
TEXACO CANDELARIA,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 62 # 22-36 SUR
ÉXITO USME,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 65D # 1D-07 ESTE
CARULLA SNICO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 116 # 70F-43
PANPAYA 127,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 127 # 9-16
TIGER MARG,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 145 # 35-93
CENTRO COMERCIAL CEDRITOS,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 151 # 32-19
JUMBO 170,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 170 # 64-47
GNB CALLE 26 II,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 27 # 6-70
OLIMPICA 13 DE JUNIO,COSTA,CARTAGENA,BOLIVAR,DIAGONAL 32 #  70-33
MERQ ESPAN,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 88 A # 82-52
HOME CENTER CUCUTA,SANTANDERES,CUCUTA,NORTE DE SANTANDER,DIAGONAL SANTANDER # 11-200
CENTRO COMERCIAL MANILA,BOGOTA,FUSAGASUGA,CUNDINAMARCA,DIAGONAL 18 # 15-90
CASTILLA I,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 9 # 72-17
LUCERO BAJO,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 64 A BIS # 17G-27 SUR
SURTIMAX SAN JORGE,BOGOTA,BOGOTA,CUNDINAMARCA,DIAGONAL 45SUR # 18-20
CENTRO COMERCIAL CASTELLANA II,COSTA,CARTAGENA,BOLIVAR,EDIFICIO RUBI CALLE 31 # 64-10 2ET
HOTEL AMERICAS,COSTA,CARTAGENA,BOLIVAR,H AMERICAS
CENTRO COMERCIAL HACIENDA II,BOGOTA,BOGOTA,CUNDINAMARCA,HACIENDA SANTA BARBARA
METRO IBAGUE,SUR,IBAGUE,TOLIMA,CARRERA 5 # 62-64
VIVENZA,BOGOTA,CHIA,CUNDINAMARCA,INTERS. CHIA-COTA VARIANTE
AEROPUERTO GARZONES,ANTIOQUIA,MONTERIA,CORDOBA,KM 10 VIA CERETE
ESSO SAN PEDRO BUGA,OCCIDENTE,GUADALAJARA DE BUGA,VALLE DEL CAUCA,KM 14 VIA TULUA ESTACION ESSO
AEROPUERTO EL EDEN,CAFETERA,ARMENIA,QUINDIO,KM 15 VIA VALLE
AEROPUERTO SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,KM 16.5 DE SANTA MARTA
PETROBAS SIBATE,BOGOTA,SIBATE,CUNDINAMARCA,KILOMETRO 17 AUTOPISTA SUR
GNB PINSA BARRANQUILLA,COSTA,MALAMBO,ATLANTICO,KM 3 CARRERA MALAMBO
GNB YOTOCO,OCCIDENTE,YOTOCO,VALLE DEL CAUCA,KM 4 VIA BUGA-CALI
TERPEL SPINELLI,ORIENTAL,TUNJA,BOYACA,KM 7 VIA TUNJA-BOGOTA
OLIMPICA NORTE 2,BOGOTA,CHIA,CUNDINAMARCA,KM 21 AUTOPISTA NORTE-CHIA
ALFONSO LOPEZ,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 1C # 72A-04
OLIMPICA BARRANQUILLA,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 1D #  62-04
SUPER A CLO,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 1 OESTE # 1-109
CARULLA HOLG,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 100 # 11-60
ÉXITO LEON XIII,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 11 # 11-05 SUR BOSA
PANPAYA 116,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 11 # 116-10
PULL 95 IV,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 11 # 94A-35
EL CORTIJO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 116 A # 82-27
OLIMPICA NORTE,CAFETERA,ARMENIA,QUINDIO,CARRERA 14 # 8N-13 ARMENIA
GNB CARRERA 15,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 15 # 88-47
GNB MANIZALES,CAFETERA,MANIZALES,CALDAS,CARRERA 23 # 56-42
COLSUBSIDIO 63 II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 24 CALLE 63
QUIROGA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 24 # 35-06 SUR
7 DE AGOSTO II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 24 # 63D-15
VILLA DEL LAGO,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 26 # 71-04
GNB SOTOMAYOR,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 31 # 52-06
EJECUTIVOS,COSTA,CARTAGENA,BOLIVAR,CARRERA 31 # 58-118
JUMBO PALOQUEMAO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 32 # 17B-04
OLIMPICA PIE DE POPA,COSTA,CARTAGENA,BOLIVAR,CARRERA 32 # 20-128
BRIGADA,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 33 # 17-70
EL RECREO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 38 # 54-55
OLIMPICA RODADERO,COSTA,SANTA MARTA,MAGDALENA,CARRERA 4 # 13-28
SANTA RITA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 42 # 33-16 SUR
SAN JORGE,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 43 # 68-13
PORVENIR BARRANQUILLA,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 43 # 76-100
EL GUABAL,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 44 CALLE 14
MODELO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 44 # 68-74
HOME CENTER 170 NORTE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 45 # 170-50
MANRIQUE I,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 45 # 70-03
OLIMPICA CAÑAVERAL,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 46 # 48-43
OLIMPICA OLAYA HERRERA,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 46 # 82-54
ÉXITO ENVIGADO,ANTIOQUIA,ENVIGADO,ANTIOQUIA,CARRERA 48 # 34SUR-29
TEJAR,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 49 B # 30-35 SUR
TIGER PUENTE ARANDA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 50 # 19-15
TIGER BELLO,ANTIOQUIA,BELLO,ANTIOQUIA,CARRERA 50 # 25B15
CENTRO COMERCIAL METROBELLO,ANTIOQUIA,BELLO,ANTIOQUIA,CARRERA 50 # 50-15
OLIMPICA CALLE 84,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 51 B CALLE 84 ESQUINA
CARULLA EXP VIL,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 52 # 127C-92
GNB CARRERA 52,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 52 # 72-131
CAFAM GALAN,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 56 # 4-53
HOME CENTER BOGOTA SUR,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 58 # 38-05 SUR
TERMINAL MEDELLIN II,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 64C # 37B-344
TERMINAL MEDELLIN III,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 64C # 37B-344
PARAISO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 67 # 81-186
CENTRO COMERCIAL METROPOLIS II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 68 # 75A-50
CARULLA 63,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 CALLE 63
TIGER TRIAN,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 59-47
SAO LA PLAZA,COSTA,CARTAGENA,BOLIVAR,CARRERA 71 # 3C-13
TIMIZA II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 72 # 35B-34 SUR
OLIMPICA KENNEDY ORIE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 74 # 38-10 SUR
TECHO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 76 # 24-70 SUR
ÉXITO MODELIA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 77 A # 38-06
VILLA LUZ II,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 77 # 62A-31
CARULLA CASTILLA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 77 # 8A-95
CIUDAD MONTES,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 8 SUR # 42-68
VALLE ABURRA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 81 # 32-204
ÉXITO LAUREL,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 81 # 37-100
CAFAM ROMA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 86 # 55 A 20 SUR
SUBA PAGUEMENOS,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 91 CLL 137 L. 170
SUBA CAMP,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 92 # 145-70
MAKRO CALI,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 94 # 25-60
SUPER INTER MELENDEZ,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 94 # 4-99
CENTRO COMERCIAL HACIENDA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 115-88
OLIMPICA LAS ACACIAS,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 23 # 23-24
AEROPUERTO PALONEGRO,SANTANDERES,LEBRIJA,SANTANDER,LEBRIJA 25 KM AL OESTE
OLIMPICA BUENOS AIRES,COSTA,CARTAGENA,BOLIVAR,NUEVO BOSQUE TRANSVERSAL 41-241
PABLO VI,BOGOTA,BOGOTA,CUNDINAMARCA,PABLO VI BLOQUE 13 LOCAL 17
PASEO BOLIVAR,COSTA,CARTAGENA,BOLIVAR,PASEO BOLIVAR # 34-20
OLIMPICA TORICES,COSTA,CARTAGENA,BOLIVAR,PASEO BOLIVAR
STOP N GO,BOGOTA,CHIA,CUNDINAMARCA,PEAJE ANDES AUTOPISTA NORTE
GALAPA,COSTA,GALAPA,ATLANTICO,PLAZA PRINCIPAL
ENT HORUS,COSTA,CARTAGENA,BOLIVAR,PARQUE CENTRO COMERCIAL PIERINOGALLO # 2-5
TERMINAL BARRANQUILLA,COSTA,SOLEDAD,ATLANTICO,PROLONG. CALLE MURILLO
PUENTE AEREO,BOGOTA,BOGOTA,CUNDINAMARCA,PUENTE AEREO
REFINERIA,SANTANDERES,BARRANCABERMEJA,SANTANDER,REFINERIA ECOPETROL
METRO SOACHA,BOGOTA,SOACHA,CUNDINAMARCA,CARRERA 7 # 32-35
TERMINAL CARTAGENA,COSTA,CARTAGENA,BOLIVAR,TERMINAL CARTAGENA
TERMINAL PRINCIPAL BOGOTA,BOGOTA,BOGOTA,CUNDINAMARCA,TERMINAL MODULO ROJO
CARULLA POLO,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 24 # 83-39
SAO PLAZA DE LAS AMERICAS,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 64 # 26-50 SUE
CINE COLOMBIA PLAZA I,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 71D # 4-40
CINE COLOMBIA PLAZA II,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 71D # 4-40
ÉXITO QUIRIGUA,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 92A # 82-00
CENTRO COMERCIAL DIVER PLAZA,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 96N # 70A-85
CENTRO COMERCIAL MAZUREN,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 40 # 151-42
CENTRO COMERCIAL CAOBOS,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 30 #145-44 LOCAL 40
OLIMPICA V CAMPESTRE,COSTA,BARRANQUILLA,ATLANTICO,TRANSVERSAL 3 # 3-12 LOTE 1
TIBABUYES C,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 114 # 142A-90
ÉXITO ORIENTAL,SANTANDERES,BUCARAMANGA,SANTANDER,TRANSVERSAL ORIENTAL # 92-218
BOSA CARBONELL,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 78 B # 74D-08 SUR
PARQUE SANTANDER I,SANTANDERES,CUCUTA,NORTE DE SANTANDER,CALLE 14 #5-12
CARULLA CEDRO,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 28 # 150-28
SERENA,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 75A # 84-79
NORTE ALAMOS,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 93 # 64A93
CENTRO COMERCIAL HATO CHICO,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 118 # 147A-27 LOCAL 1-01
PANPAYA CEDRITOS,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 147 # 14B-36
ESSO MURALL,COSTA,CARTAGENA,BOLIVAR,TRANSVERSAL 54 # 30 100
GNB PUENTE LARGO,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 60 # 115-58 LOCAL 106
BOMBEROS,BOGOTA,BOGOTA,CUNDINAMARCA,TRANSVERSAL 82A # 41F-59 SUR
TERMINAL POPAYAN,OCCIDENTE,POPAYAN,CAUCA,TRANSVERSAL 9 # 4N-125
CENTRO COMERCIAL MIRAFLORES,BOGOTA,SOACHA,CUNDINAMARCA,TRANSVERSAL 32 # 24-60 CIUDAD VERDE
ÉXITO UNICENTRO,BOGOTA,BOGOTA,CUNDINAMARCA,UNICENTRO
ÉXITO SOLEDAD,COSTA,SOLEDAD,ATLANTICO,AVENIDA CARRERA 45 # 104-40
USME,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 1 # 96SUR-33 VIA USME
GUALI,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA CALLE 64C # 69A-04
OLIMPICA FUNDACION,COSTA,FUNDACION,MAGDALENA,CALLE 6 # 8A-16
BELLA VISTA,OCCIDENTE,POPAYAN,CAUCA,CARRERA 9B # 62N-40
