NOMBRE,REGIONAL,CIUDAD,DEPARTAMENTO,DIRECCION
SEGUROS DEL SUR I,OCCIDENTE,TUMACO,NARIÑO,CALLE  MOSQUERA CON 7 DE AGOSTO ESQUINA
3 ELEFANTES,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE  35A # 73-80
CAFAM SOACHA,BOGOTA,SOACHA,CUNDINAMARCA,CALLE 15 # 3A-52
CODABAS BOGOTA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 182 CARRERA 7 MODULO 2 LOCAL 1
GNB CALLE 48,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE 48 # 28-61
CAPRI,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 151 # 26-11 LOCAL 4
SAO_RIOACHA,COSTA,RIOHACHA,GUAJIRA,CALLE 15 # 15-57
ALPES,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 36B S #3A-75
CORREGIMENTO CENTRO,SANTANDERES,BARRANCABERMEJA,SANTANDER,CORREGIMIENTO CENTRO
CENTRO COMERCIAL INTERCENTRO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 10 # 23-66
LA 14 CALIMA II,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 1 # 66-49
COMFANDI CARRERA 1,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 1 CALLE 56
HOSPITAL SOACHA,BOGOTA,SOACHA,CUNDINAMARCA,CARRERA 1E # 31-58 SAN MATEO SOACHA
SUPERMARDEN,OCCIDENTE,PALMIRA,VALLE DEL CAUCA,CARRERA 1 TRANSVERSAL 32
SUPER INTER JAMUNDI,OCCIDENTE,JAMUNDI,VALLE DEL CAUCA,CARRERA 10 # 17-21
METRO 20 DE JULIO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 10A # 30B-20 SUR
GNB TUNJA,ORIENTAL,TUNJA,BOYACA,CARRERA 11 # 19-48
CENTRO COMERCIAL UNCENTRO OCCIDENTE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 111C # 86-74
TUYO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 113B # 63I-39
CARULLA CIUDAD JARDIN,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 13 # 16-48
JUMBO SANTA MARTA,COSTA,SANTA MARTA,MAGDALENA,CARRERA 15 # 29-116 CENTRO COMERCIAL OCEAN MALL
CENTRO COMERCIAL DE ALTA TECNOLOGIA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 15 # 77-05
TERPEL LA VIRGEN,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 15 CALLE 43
UNIVERSIDAD LOS ANDES,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 18 # 0-33
CENTRO COMERCIAL FERROCARRIL,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 19 # 12-74
CALLE 20,OCCIDENTE,PASTO,NARIÑO,CALLE 20 # 27-79
OLIMPICA MURILLO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 20 CALLE 46
CENTRO COMERCIAL SAN JOSE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 21 # 9A-31
OLIMPICA CARRERA 21,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 21B CALLE 64
COMFANDI PRADO,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 23 # 26B-54
SUPER INTER AMERICA,CAFETERA,ARMENIA,QUINDIO,CARRERA 23 # 33-15
OLIMPICA 7 DE AGOSTO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 24 # 63F-55
CENTRO COMERCIAL PLAZA 54,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 24 CALLE 53B ESQUINA
CENTRO COMERCIAL EL TESORO,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 25 # 1AS-45
OLIMPICA CRISTALES,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 25 OESTE # 6-120
CENTRO COMERCIAL METROPOLITANO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 28 # 58-148
TERPEL DIAMANTE,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 29 # 39A-35
OLIMPICA CENTRO COMERCIAL SURICENTRO,ANTIOQUIA,MONTERIA,CORDOBA,CARRERA 3 # 7-60
CARRERA 30,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 30 # 25A-41
AURORA II,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 30 #31-30
MIRADOR TAKAY,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 32 # 25B-75
MERCAFACIL CABECERA,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 33 # 41-34
EL GUITARRON,SANTANDERES,BUCARAMANGA,SANTANDER,CARRERA 33 CALLE 18
CENTRO COMERCIAL SAN ANDRESITO 38,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 38 # 10-17
ÉXITO SAN FRANCISCO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 38 # 70B-177
JUMBO AMERICANO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 38 # 74-179
OLIMPICA CENTRO COMERCIAL ISERRA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 38 # 97-76 CENTRO COMERCIAL ISERRA
LA PROVEEDORA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 39 # 66-20
SUPER INTER INDEPENCIA,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 40B # 27-40
MERCAFACIL UNION,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 41 # 40-03
OLIMPICA DROGUERIA CALLE 73,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 41 CALLE 73
GNB SUDAMERIS MEDELLIN POBLADO,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 43A # 1S-88
GNB CENTRO,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 46 # 52-36
CLINICA SANTILLANA,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 46 # 9C-85
LA14 BUENAVENTURA,OCCIDENTE,BUENAVENTURA,VALLE DEL CAUCA,CARRERA 46 AVENIDA SIMON BOLIVAR
JUMBO VEGAS,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 48 # 25 SUR 136
GNB FORPO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 48 # 46-00S GENERAL SANTANDER
SAO NEIVA,SUR,NEIVA,HUILA,CARRERA 5 # 19-23
LEY POPAYAN,OCCIDENTE,POPAYAN,CAUCA,CARRERA 5 # 6-45
PETROBAS PUENTE ARANDA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 50 # 21-12
METRO BELLO,ANTIOQUIA,BELLO,ANTIOQUIA,CARRERA 50 # 27B-71
ÉXITO BARRANQUILA,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 51 B # 87 - 50
CENTRO COMERCIAL LA TORRE,ANTIOQUIA,ITAGUI,ANTIOQUIA,CARRERA 52D # 77-63 ITAGUI
OLIMPICA  ALTO PRADO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 53 # 82-77
SUPER INTER GUADALUPE,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 56 # 13C-103
OLIMPICA VILLANUEVA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 57 # 47-40
JUMBO ALTO PRADO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 56 # 75-155
CENTRO COMERCIAL ARIZONA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 58A # 167-58
CARULLA SIRENA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 59 # 152B-75
OLIMPICA BOSQUE,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 6 # 76-08
FUSAGASUGA,BOGOTA,FUSAGASUGA,CUNDINAMARCA,CARRERA 6 # 9-53
CINE COLOMBIA UNICENTRO,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 66B #34A-76 LOCAL 372
OLIMPICA SANTA ANA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 108-44
CENTRO COMERCIAL EL TESORO,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 7 # 13-70
CENTRO COMERCIAL PALATINO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 139-33
TEXACO FLANDES,SUR,FLANDES,TOLIMA,CARRERA 7 # 13A-12
GNB CASTILLO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 72-74 LOCAL 4
OLIMPICA ROSALES,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 # 82-82
OLIMPICA SANTA BARBARA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 7 CALLE 116 CENTRO COMERCIAL SANTA BARBARA
METRO SUR ORIENTE,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 3 # 69B-26
QUINTAS TIMIZA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 72K # 40-06 SUR
VILLA CAROLINA,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 75 # 87-44
CENTRO COMERCIAL BOLIVAR PLAZA,CAFETERA,PEREIRA,RISARALDA,CARRERA 8 # 16-27
COMFANDI SANTA ROSA,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 8 # 8-26
ECOSPETROL,COSTA,SOLEDAD,ATLANTICO,CARRERA 8B # 5-32
ÉXITO MOLINOS,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 82 # 30A-50 LOCAL 119
HOME CENTER MOLINOS,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 82C CALLE 32 ESQUINA
PATIO BONITO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 86 # 38A-22 SUR
METRO TINTAL,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 86D # 42B-54 SUR
